,ccode,class_income,classifier,class_reg,class_subreg,year,rev_resrevgdp,rent_min,rent_coal,rent_gas,rent_oil,exp_eishare,price_brent,max_rent,gov_take,regressive_coeff,increasing_rent,increasing_take,years_rent_increasing_without_take_inc
35,AZE,Upper middle income,Oil,Asia,Western Asia,2005,9.75205,0.002116299,NA,9.359814883,55.65889798,80.183,54.52,55.65889798,17.52109789,-1.146421889,1,0,3
36,AZE,Upper middle income,Oil,Asia,Western Asia,2006,14.2283,0.002678437,NA,6.66540143,61.80049585,90.2547,65.14,61.80049585,23.02295443,-1.146421889,1,1,3
37,AZE,Upper middle income,Oil,Asia,Western Asia,2007,15.1803,0.002947778,NA,6.867080619,55.76653097,91.5552,72.39,55.76653097,27.22116606,-1.146421889,0,1,3
38,AZE,Upper middle income,Oil,Asia,Western Asia,2008,38.4154,0.006266976,NA,10.42620347,53.07226077,95.9448,97.26,53.07226077,72.38319876,-1.146421889,0,1,3
39,AZE,Upper middle income,Oil,Asia,Western Asia,2009,27.3592,0.016639299,NA,4.611292383,37.78422986,92.3287,61.67,37.78422986,72.40904499,-1.146421889,0,1,3
40,AZE,Upper middle income,Oil,Asia,Western Asia,2010,34.4911,0.102807743,NA,3.524997282,42.1619427,93.8033,79.5,42.1619427,81.80623992,-1.146421889,1,1,3
41,BHR,High income,Oil,Asia,Western Asia,2000,25.521,0,NA,8.887885689,20.59789362,75.5786,28.5,20.59789362,123.9010186,-2.748234232,0,0,2
42,BHR,High income,Oil,Asia,Western Asia,2001,22.4253,0,NA,8.963431694,16.63961756,70.6913,24.44,16.63961756,134.7705253,-2.748234232,0,1,2
43,BHR,High income,Oil,Asia,Western Asia,2002,21.6561,0,NA,6.422304203,16.0661095,67.7193,25.02,16.0661095,134.7936786,-2.748234232,0,1,2
44,BHR,High income,Oil,Asia,Western Asia,2003,22.8131,0,NA,9.529184101,16.99113827,64.3875,28.83,16.99113827,134.2646951,-2.748234232,1,0,2
45,BHR,High income,Oil,Asia,Western Asia,2004,22.3413,0,NA,9.277500604,19.936025,71.417,38.27,19.936025,112.0649678,-2.748234232,1,0,2
46,BHR,High income,Oil,Asia,Western Asia,2005,25.0029,0,NA,13.10394547,23.98943832,74.6172,54.52,23.98943832,104.2246161,-2.748234232,1,0,2
47,BHR,High income,Oil,Asia,Western Asia,2006,23.7674,0,NA,11.69563867,24.22003651,76.3202,65.14,24.22003651,98.13114852,-2.748234232,1,0,2
48,BHR,High income,Oil,Asia,Western Asia,2007,23.4752,0,NA,10.70759631,23.01609225,71.4606,72.39,23.01609225,101.994725,-2.748234232,0,1,2
49,BHR,High income,Oil,Asia,Western Asia,2008,27.6632,0,NA,14.26142569,26.53038008,71.3868,97.26,26.53038008,104.2698971,-2.748234232,1,1,2
50,BHR,High income,Oil,Asia,Western Asia,2009,19.8106,0,NA,7.307597623,17.43049059,64.2873,61.67,17.43049059,113.6548619,-2.748234232,0,1,2
51,BHR,High income,Oil,Asia,Western Asia,2010,21.9827,0,NA,5.859696912,19.20932707,71.6208,79.5,19.20932707,114.4376371,-2.748234232,1,1,2
52,BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2006,10.2209,3.869084843,NA,24.76659219,8.539571702,75.0293,65.14,24.76659219,41.26889934,-4.046055884,0,0,1
53,BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2007,9.89498,4.257850853,NA,22.98623211,8.278270679,76.5007,72.39,22.98623211,43.04742053,-4.046055884,0,1,1
54,BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2008,14.0082,2.612193809,NA,28.05789595,8.55196821,76.5394,97.26,28.05789595,49.92605299,-4.046055884,1,1,1
55,BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2009,13.5379,2.280423934,NA,9.60235734,4.057159945,69.3854,61.67,9.60235734,140.9851719,-4.046055884,0,1,1
56,BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2010,10.7747,3.874484759,NA,8.940715754,4.976647853,75.3098,79.5,8.940715754,120.5127229,-4.046055884,0,0,1
57,BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2011,11.8836,6.289227442,NA,8.589304597,5.414128768,81.8006,111.26,8.589304597,138.3534588,-4.046055884,0,1,1
58,COD,Low income,Minerals,Africa,Middle Africa,2000,0.625746,0.423928665,0,NA,4.793687909,85.2181,28.5,4.793687909,13.05354065,-4.953532945,0,0,1
59,COD,Low income,Minerals,Africa,Middle Africa,2001,0.618182,0.304218695,0.018067805,NA,3.847334111,80.2666,24.44,3.847334111,16.06780129,-4.953532945,0,1,1
60,COD,Low income,Minerals,Africa,Middle Africa,2002,2.05368,0.349825263,0.0052026,NA,3.121970212,92.2323,25.02,3.121970212,65.78153732,-4.953532945,0,1,1
61,COD,Low income,Minerals,Africa,Middle Africa,2003,2.00294,0.770055834,0.002829182,NA,4.008346817,86.2298,28.83,4.008346817,49.969229,-4.953532945,1,0,1
62,COD,Low income,Minerals,Africa,Middle Africa,2004,2.54172,2.556743305,0.043011763,NA,5.135981144,77.5684,38.27,5.135981144,49.48849945,-4.953532945,1,0,1
63,COD,Low income,Minerals,Africa,Middle Africa,2005,3.58291,3.970415964,0.032682803,NA,6.140107754,82.5761,54.52,6.140107754,58.352559,-4.953532945,1,1,1
64,COD,Low income,Minerals,Africa,Middle Africa,2006,4.1819,10.65678361,0.028278846,0.010685095,5.937084792,75.4606,65.14,10.65678361,39.24167134,-4.953532945,1,0,1
65,COD,Low income,Minerals,Africa,Middle Africa,2007,4.34718,9.873002036,0.043962633,0.019388114,5.641638365,74.2809,72.39,9.873002036,44.03098454,-4.953532945,0,1,1
66,COD,Low income,Minerals,Africa,Middle Africa,2008,5.1493,12.38949107,0.104373778,0.024489713,6.307111148,74.3108,97.26,12.38949107,41.56183632,-4.953532945,1,0,1
67,COD,Low income,Minerals,Africa,Middle Africa,2009,4.20061,11.71934091,0.048684859,0.011478273,3.674372305,78.7969,61.67,11.71934091,35.84339795,-4.953532945,0,0,1
68,COD,Low income,Minerals,Africa,Middle Africa,2010,5.02119,17.72098439,0.070251411,0.009142949,4.123837269,79.7486,79.5,17.72098439,28.33471262,-4.953532945,1,0,1
69,COD,Low income,Minerals,Africa,Middle Africa,2011,5.85585,21.96592142,0.071375229,0.008701994,4.385443806,84.2418,111.26,21.96592142,26.65879518,-4.953532945,1,0,1
70,DZA,Upper middle income,Oil,Africa,Northern Africa,2000,29.5994,0.043326679,0,18.47399628,13.74102582,98.3324,28.5,18.47399628,160.2219658,-1.787188536,0,0,1
71,DZA,Upper middle income,Oil,Africa,Northern Africa,2001,23.6891,0.037335084,0,16.51887458,11.0480275,97.9269,24.44,16.51887458,143.4062586,-1.787188536,0,0,1
72,DZA,Upper middle income,Oil,Africa,Northern Africa,2002,22.2898,0.037022966,NA,12.07727056,12.21771988,97.2704,25.02,12.21771988,182.4382963,-1.787188536,0,1,1
73,DZA,Upper middle income,Oil,Africa,Northern Africa,2003,25.7261,0.041413137,NA,17.49918861,14.5981264,98.4227,28.83,17.49918861,147.013102,-1.787188536,1,0,1
74,DZA,Upper middle income,Oil,Africa,Northern Africa,2004,25.5985,0.04696263,NA,14.996289,17.04515043,98.5728,38.27,17.04515043,150.1805461,-1.787188536,0,1,1
75,DZA,Upper middle income,Oil,Africa,Northern Africa,2005,31.1864,0.083463133,NA,21.11812527,21.60786842,98.888,54.52,21.60786842,144.3289055,-1.787188536,1,0,1
76,DZA,Upper middle income,Oil,Africa,Northern Africa,2006,32.8498,0.135848094,NA,17.57757631,23.07750843,98.7815,65.14,23.07750843,142.3455227,-1.787188536,1,0,1
77,DZA,Upper middle income,Oil,Africa,Northern Africa,2007,30.0531,0.133195393,NA,14.96243041,22.01059657,98.89,72.39,22.01059657,136.5392342,-1.787188536,0,0,1
78,DZA,Upper middle income,Oil,Africa,Northern Africa,2008,37.1901,0.466478853,NA,17.51888457,23.08234119,98.7924,97.26,23.08234119,161.1192716,-1.787188536,1,1,1
79,DZA,Upper middle income,Oil,Africa,Northern Africa,2009,24.0447,0.158039918,NA,9.509141142,15.51521008,98.8387,61.67,15.51521008,154.9750205,-1.787188536,0,0,1
80,DZA,Upper middle income,Oil,Africa,Northern Africa,2010,24.1091,0.221522308,0,7.708298263,16.91673044,98.6069,79.5,16.91673044,142.51631,-1.787188536,1,0,1
81,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2000,8.9726,0.000220843,NA,0.237463632,22.13110995,51.0242,28.5,22.13110995,40.54292812,-0.834856307,0,0,4
82,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2001,6.35143,2.88E-05,NA,0.171633247,13.76260976,41.2682,24.44,13.76260976,46.14989534,-0.834856307,0,1,4
83,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2002,5.6356,2.10E-05,NA,0.075860188,11.65020604,41.4058,25.02,11.65020604,48.3733934,-0.834856307,0,1,4
84,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2003,5.85598,0.023022832,NA,0.221165836,12.99196895,43.5534,28.83,12.99196895,45.07384541,-0.834856307,1,0,4
85,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2004,6.47985,0.020114922,NA,0.255981089,19.40263679,56.0894,38.27,19.40263679,33.39674947,-0.834856307,1,0,4
86,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2005,5.98661,0.029180766,NA,0.286459168,25.36576355,60.1124,54.52,25.36576355,23.60114249,-0.834856307,1,0,4
87,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2006,7.74968,0.085267276,NA,0.396661971,27.44249437,60.2718,65.14,27.44249437,28.23970699,-0.834856307,1,1,4
88,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2007,7.2917,0.063468082,NA,0.369271921,26.39807791,61.2716,72.39,26.39807791,27.62208682,-0.834856307,0,0,4
89,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2008,9.78596,0.020137353,NA,0.285741552,30.226846,63.4145,97.26,30.226846,32.37506156,-0.834856307,1,1,4
90,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2009,4.93446,0.071796252,NA,0.130165657,17.18878078,51.1138,61.67,17.18878078,28.70744623,-0.834856307,0,0,4
91,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2010,7.57359,0.08797614,NA,0.119304495,20.40730023,56.3267,79.5,20.40730023,37.11216043,-0.834856307,1,1,4
92,ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2011,11.5394,0.014306085,NA,0.113991314,25.59743028,58.9885,111.26,25.59743028,45.0803064,-0.834856307,1,1,4
93,GBR,High income,Oil,Europe,Northern Europe,2000,0.402445,0,0,0.870329816,1.334152821,13.0058,28.5,1.334152821,30.16483522,-11.81146161,0,0,4
94,GBR,High income,Oil,Europe,Northern Europe,2001,0.501945,0,0.006439324,0.807214859,0.999659844,11.2149,24.44,0.999659844,50.21157977,-11.81146161,0,1,4
95,GBR,High income,Oil,Europe,Northern Europe,2002,0.477325,0,0,0.507775154,0.925903197,12.4289,25.02,0.925903197,51.55236547,-11.81146161,0,1,4
96,GBR,High income,Oil,Europe,Northern Europe,2003,0.388853,0,0,0.755275654,0.873725614,12.8737,28.83,0.873725614,44.50516201,-11.81146161,0,0,4
97,GBR,High income,Oil,Europe,Northern Europe,2004,0.406863,6.83E-06,0.02184681,0.650573626,0.906187857,13.8406,38.27,0.906187857,44.89830633,-11.81146161,1,1,4
98,GBR,High income,Oil,Europe,Northern Europe,2005,0.659416,8.04E-06,0.01135362,0.922973955,1.123902784,14.6085,54.52,1.123902784,58.67197852,-11.81146161,1,1,4
99,GBR,High income,Oil,Europe,Northern Europe,2006,0.675807,1.36E-05,0.010013805,0.748759721,1.151349078,14.6737,65.14,1.151349078,58.69696801,-11.81146161,1,1,4
100,GBR,High income,Oil,Europe,Northern Europe,2007,0.552854,3.40E-05,0.016123877,0.576660182,1.110077788,16.4371,72.39,1.110077788,49.8031765,-11.81146161,0,0,4
101,GBR,High income,Oil,Europe,Northern Europe,2008,0.805216,0.000130576,0.056720698,0.885088455,1.519478934,19.6099,97.26,1.519478934,52.99290316,-11.81146161,1,1,4
102,GBR,High income,Oil,Europe,Northern Europe,2009,0.581087,0.000201027,0.02708315,0.368883371,0.995568283,15.7424,61.67,0.995568283,58.36736766,-11.81146161,0,1,4
103,GBR,High income,Oil,Europe,Northern Europe,2010,0.561048,0.000249381,0.047122288,0.304824838,1.181271476,18.2714,79.5,1.181271476,47.49526349,-11.81146161,1,0,4
104,GNQ,High income,Oil,Africa,Middle Africa,2000,15.2915,0,NA,NA,64.19408067,87.8964,28.5,64.19408067,23.82073213,-0.230251831,0,0,2
105,GNQ,High income,Oil,Africa,Middle Africa,2001,22.4813,0.007883483,NA,NA,73.56131708,89.3355,24.44,73.56131708,30.56130707,-0.230251831,1,1,2
106,GNQ,High income,Oil,Africa,Middle Africa,2002,22.6075,0.029683552,NA,NA,79.01800512,90.4097,25.02,79.01800512,28.61056789,-0.230251831,1,0,2
107,GNQ,High income,Oil,Africa,Middle Africa,2003,23.185,0.013774437,NA,NA,78.89792022,88.8999,28.83,78.89792022,29.38607245,-0.230251831,0,1,2
108,GNQ,High income,Oil,Africa,Middle Africa,2004,26.4157,0.00149355,NA,NA,79.51369636,93.3433,38.27,79.51369636,33.22157214,-0.230251831,1,1,2
109,GNQ,High income,Oil,Africa,Middle Africa,2005,31.7364,0,NA,NA,75.07370837,94.0178,54.52,75.07370837,42.27365437,-0.230251831,0,1,2
110,GNQ,High income,Oil,Africa,Middle Africa,2006,37.4892,0,NA,NA,74.27804397,95.3968,65.14,74.27804397,50.47144216,-0.230251831,0,1,2
111,GNQ,High income,Oil,Africa,Middle Africa,2007,33.9108,0,NA,NA,63.9897362,91.4704,72.39,63.9897362,52.99412377,-0.230251831,0,1,2
112,GNQ,High income,Oil,Africa,Middle Africa,2008,34.5959,0,NA,NA,59.61883487,96.8639,97.26,59.61883487,58.02847385,-0.230251831,0,1,2
113,GNQ,High income,Oil,Africa,Middle Africa,2009,37.1389,0,NA,NA,46.24574345,96.374,61.67,46.24574345,80.30771533,-0.230251831,0,1,2
114,GNQ,High income,Oil,Africa,Middle Africa,2010,26.3747,0,NA,NA,45.643482,94.6173,79.5,45.643482,57.78415415,-0.230251831,0,0,2
115,GNQ,High income,Oil,Africa,Middle Africa,2011,25.3761,0,NA,NA,41.05321505,95.8495,111.26,41.05321505,61.81269839,-0.230251831,0,1,2
116,IDN,Lower middle income,Oil,Asia,Southeast Asia,2000,6.12418,1.440120639,0.074594211,4.288103313,6.429433202,30.8203,28.5,6.429433202,95.25225331,-5.639286185,0,0,2
117,IDN,Lower middle income,Oil,Asia,Southeast Asia,2001,6.32578,1.328752226,0.693957574,3.941541609,4.928176218,31.5835,24.44,4.928176218,128.3594523,-5.639286185,0,1,2
118,IDN,Lower middle income,Oil,Asia,Southeast Asia,2002,4.27261,1.262989568,0.320494074,2.29972079,3.823770959,30.0989,25.02,3.823770959,111.7381257,-5.639286185,0,0,2
119,IDN,Lower middle income,Oil,Asia,Southeast Asia,2003,3.99047,1.279058379,0.252924023,3.851684119,3.56560698,31.915,28.83,3.851684119,103.6032519,-5.639286185,1,0,2
120,IDN,Lower middle income,Oil,Asia,Southeast Asia,2004,4.71323,1.560031309,1.664446267,3.676242037,4.305830512,32.684,38.27,4.305830512,109.4615774,-5.639286185,1,1,2
121,IDN,Lower middle income,Oil,Asia,Southeast Asia,2005,5.00044,2.073662669,1.402770557,5.598197651,5.68023621,36.392,54.52,5.68023621,88.03225456,-5.639286185,1,0,2
122,IDN,Lower middle income,Oil,Asia,Southeast Asia,2006,6.02776,2.591031871,1.555153353,4.067095092,5.126246285,37.8739,65.14,5.126246285,117.5862349,-5.639286185,0,1,2
123,IDN,Lower middle income,Oil,Asia,Southeast Asia,2007,4.26464,3.346167044,2.241200277,3.188380687,4.499853943,36.8753,72.39,4.499853943,94.77285383,-5.639286185,0,0,2
124,IDN,Lower middle income,Oil,Asia,Southeast Asia,2008,5.83257,1.725205137,4.759499125,4.228697344,5.413708932,37.5672,97.26,5.413708932,107.7370445,-5.639286185,1,1,2
125,IDN,Lower middle income,Oil,Asia,Southeast Asia,2009,3.13678,1.813691116,2.418315201,1.335380396,2.645277625,38.1889,61.67,2.645277625,118.5803702,-5.639286185,0,1,2
126,IDN,Lower middle income,Oil,Asia,Southeast Asia,2010,3.28798,1.97053003,3.249489816,0.905499038,2.709127979,40.1968,79.5,3.249489816,101.1844993,-5.639286185,1,0,2
127,IDN,Lower middle income,Oil,Asia,Southeast Asia,2011,3.58879,1.61941771,3.980029391,0.802210888,2.957076673,42.7314,111.26,3.980029391,90.16993714,-5.639286185,1,0,2
128,IRN,Upper middle income,Oil,Asia,Southern Asia,2000,16.4048,0.200573417,0.013757883,7.279600024,34.41498931,88.9557,28.5,34.41498931,47.66760161,-0.660159755,0,0,0
129,IRN,Upper middle income,Oil,Asia,Southern Asia,2001,11.8279,0.150483499,0.018557694,6.426639902,23.89305793,87.0791,24.44,23.89305793,49.50350028,-0.660159755,0,1,0
130,IRN,Upper middle income,Oil,Asia,Southern Asia,2002,15.8643,0.153338081,0.01430006,5.376173371,23.7424541,85.5106,25.02,23.7424541,66.81828228,-0.660159755,0,1,0
131,IRN,Upper middle income,Oil,Asia,Southern Asia,2003,16.7411,0.198793616,0.013303033,8.45093701,26.46864473,87.0392,28.83,26.46864473,63.24879937,-0.660159755,1,0,0
132,IRN,Upper middle income,Oil,Asia,Southern Asia,2004,17.5985,0.317974831,0.030937862,8.621644813,29.74163604,86.8969,38.27,29.74163604,59.17125735,-0.660159755,1,0,0
133,IRN,Upper middle income,Oil,Asia,Southern Asia,2005,21.5306,0.582377631,0.028659018,12.61001191,38.32612745,87.4395,54.52,38.32612745,56.1773428,-0.660159755,1,0,0
134,IRN,Upper middle income,Oil,Asia,Southern Asia,2006,21.0103,1.253969058,0.026970504,11.61816398,40.28698604,88.9083,65.14,40.28698604,52.15158061,-0.660159755,1,0,0
135,IRN,Upper middle income,Oil,Asia,Southern Asia,2007,20.3852,1.184059874,0.030148653,10.21800129,34.99250944,88.2236,72.39,34.99250944,58.25589627,-0.660159755,0,1,0
136,IRN,Upper middle income,Oil,Asia,Southern Asia,2008,16.6662,1.471797012,0.052421751,13.19760562,39.88777448,88.4082,97.26,39.88777448,41.78272721,-0.660159755,1,0,0
137,IRN,Upper middle income,Oil,Asia,Southern Asia,2009,13.7379,0.874040945,0.020101844,6.787740812,23.45801663,86.1699,61.67,23.45801663,58.56377466,-0.660159755,0,1,0
138,IRQ,Upper middle income,Oil,Asia,Western Asia,2004,67.216,0,NA,0.600577907,96.59976089,97.3234,38.27,96.59976089,69.58195277,-0.435729557,0,0,1
139,IRQ,Upper middle income,Oil,Asia,Western Asia,2005,73.5288,0,NA,1.402817724,105.950004,97.3161,54.52,105.950004,69.39952546,-0.435729557,1,0,1
140,IRQ,Upper middle income,Oil,Asia,Western Asia,2006,66.1156,0,NA,1.34746977,92.51848724,97.1097,65.14,92.51848724,71.46204177,-0.435729557,0,1,1
141,IRQ,Upper middle income,Oil,Asia,Western Asia,2007,65.9427,0,NA,0.974872358,83.95839624,97.6838,72.39,83.95839624,78.54211485,-0.435729557,0,1,1
142,IRQ,Upper middle income,Oil,Asia,Western Asia,2008,71.6087,0.002977318,NA,1.320740511,85.39357086,99.0476,97.26,85.39357086,83.85724977,-0.435729557,1,1,1
143,IRQ,Upper middle income,Oil,Asia,Western Asia,2009,60.658,0.001845764,NA,1.222044266,70.55025598,98.5239,61.67,70.55025598,85.97842652,-0.435729557,0,1,1
144,IRQ,Upper middle income,Oil,Asia,Western Asia,2010,61.7372,0,NA,1.001767345,73.59282102,98.6803,79.5,73.59282102,83.89024791,-0.435729557,1,0,1
145,IRQ,Upper middle income,Oil,Asia,Western Asia,2011,61.7468,0,NA,0.808827904,77.69626655,99.1094,111.26,77.69626655,79.47202966,-0.435729557,1,0,1
146,KAZ,Upper middle income,Oil,Asia,Central Asia,2002,4.29596,1.147506245,3.838501253,3.651556293,28.62684648,76.2558,25.02,28.62684648,15.0067525,0.008341674,0,0,5
147,KAZ,Upper middle income,Oil,Asia,Central Asia,2003,5.81167,1.264041,3.345564854,5.638350211,29.57593079,75.5328,28.83,29.57593079,19.64999865,0.008341674,1,1,5
148,KAZ,Upper middle income,Oil,Asia,Central Asia,2004,6.94395,1.925012386,7.37650781,5.830190819,33.04881783,79.5575,38.27,33.04881783,21.01119028,0.008341674,1,1,5
149,KAZ,Upper middle income,Oil,Asia,Central Asia,2005,10.1651,2.142227629,4.680913483,7.873816271,37.5192917,84.2579,54.52,37.5192917,27.09299547,0.008341674,1,1,5
150,KAZ,Upper middle income,Oil,Asia,Central Asia,2006,8.98096,4.432673724,3.77761244,5.676928072,34.13873176,85.057,65.14,34.13873176,26.30724557,0.008341674,0,0,5
151,KAZ,Upper middle income,Oil,Asia,Central Asia,2007,9.23697,3.496461978,4.329901536,4.894215135,29.74760934,81.5052,72.39,29.74760934,31.05113387,0.008341674,0,1,5
152,KAZ,Upper middle income,Oil,Asia,Central Asia,2008,10.7688,2.500318016,8.65588597,6.493829036,33.82122188,81.3896,97.26,33.82122188,31.84036354,0.008341674,1,1,5
153,KAZ,Upper middle income,Oil,Asia,Central Asia,2009,8.81775,2.053027976,4.320895802,3.732270922,24.72224504,82.3517,61.67,24.72224504,35.66727045,0.008341674,0,1,5
154,KAZ,Upper middle income,Oil,Asia,Central Asia,2010,11.2241,2.580159274,5.526947865,2.826046869,26.32866471,84.4882,79.5,26.32866471,42.63072254,0.008341674,1,1,5
