ccode,class_income,classifier,class_reg,class_subreg,year,variable,value,increasingrent
AZE,Upper middle income,Oil,Asia,Western Asia,2005,max_rent,55.65889798,1
AZE,Upper middle income,Oil,Asia,Western Asia,2006,max_rent,61.80049585,1
AZE,Upper middle income,Oil,Asia,Western Asia,2007,max_rent,55.76653097,0
AZE,Upper middle income,Oil,Asia,Western Asia,2008,max_rent,53.07226077,0
AZE,Upper middle income,Oil,Asia,Western Asia,2009,max_rent,37.78422986,0
AZE,Upper middle income,Oil,Asia,Western Asia,2010,max_rent,42.1619427,1
BHR,High income,Oil,Asia,Western Asia,2000,max_rent,20.59789362,0
BHR,High income,Oil,Asia,Western Asia,2001,max_rent,16.63961756,0
BHR,High income,Oil,Asia,Western Asia,2002,max_rent,16.0661095,0
BHR,High income,Oil,Asia,Western Asia,2003,max_rent,16.99113827,1
BHR,High income,Oil,Asia,Western Asia,2004,max_rent,19.936025,1
BHR,High income,Oil,Asia,Western Asia,2005,max_rent,23.98943832,1
BHR,High income,Oil,Asia,Western Asia,2006,max_rent,24.22003651,1
BHR,High income,Oil,Asia,Western Asia,2007,max_rent,23.01609225,0
BHR,High income,Oil,Asia,Western Asia,2008,max_rent,26.53038008,1
BHR,High income,Oil,Asia,Western Asia,2009,max_rent,17.43049059,0
BHR,High income,Oil,Asia,Western Asia,2010,max_rent,19.20932707,1
BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2006,max_rent,24.76659219,0
BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2007,max_rent,22.98623211,0
BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2008,max_rent,28.05789595,1
BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2009,max_rent,9.60235734,0
BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2010,max_rent,8.940715754,0
BOL,Lower middle income,Gas,Latin America and the Caribbean,South America,2011,max_rent,8.589304597,0
COD,Low income,Minerals,Africa,Middle Africa,2000,max_rent,4.793687909,0
COD,Low income,Minerals,Africa,Middle Africa,2001,max_rent,3.847334111,0
COD,Low income,Minerals,Africa,Middle Africa,2002,max_rent,3.121970212,0
COD,Low income,Minerals,Africa,Middle Africa,2003,max_rent,4.008346817,1
COD,Low income,Minerals,Africa,Middle Africa,2004,max_rent,5.135981144,1
COD,Low income,Minerals,Africa,Middle Africa,2005,max_rent,6.140107754,1
COD,Low income,Minerals,Africa,Middle Africa,2006,max_rent,10.65678361,1
COD,Low income,Minerals,Africa,Middle Africa,2007,max_rent,9.873002036,0
COD,Low income,Minerals,Africa,Middle Africa,2008,max_rent,12.38949107,1
COD,Low income,Minerals,Africa,Middle Africa,2009,max_rent,11.71934091,0
COD,Low income,Minerals,Africa,Middle Africa,2010,max_rent,17.72098439,1
COD,Low income,Minerals,Africa,Middle Africa,2011,max_rent,21.96592142,1
DZA,Upper middle income,Oil,Africa,Northern Africa,2000,max_rent,18.47399628,0
DZA,Upper middle income,Oil,Africa,Northern Africa,2001,max_rent,16.51887458,0
DZA,Upper middle income,Oil,Africa,Northern Africa,2002,max_rent,12.21771988,0
DZA,Upper middle income,Oil,Africa,Northern Africa,2003,max_rent,17.49918861,1
DZA,Upper middle income,Oil,Africa,Northern Africa,2004,max_rent,17.04515043,0
DZA,Upper middle income,Oil,Africa,Northern Africa,2005,max_rent,21.60786842,1
DZA,Upper middle income,Oil,Africa,Northern Africa,2006,max_rent,23.07750843,1
DZA,Upper middle income,Oil,Africa,Northern Africa,2007,max_rent,22.01059657,0
DZA,Upper middle income,Oil,Africa,Northern Africa,2008,max_rent,23.08234119,1
DZA,Upper middle income,Oil,Africa,Northern Africa,2009,max_rent,15.51521008,0
DZA,Upper middle income,Oil,Africa,Northern Africa,2010,max_rent,16.91673044,1
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2000,max_rent,22.13110995,0
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2001,max_rent,13.76260976,0
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2002,max_rent,11.65020604,0
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2003,max_rent,12.99196895,1
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2004,max_rent,19.40263679,1
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2005,max_rent,25.36576355,1
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2006,max_rent,27.44249437,1
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2007,max_rent,26.39807791,0
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2008,max_rent,30.226846,1
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2009,max_rent,17.18878078,0
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2010,max_rent,20.40730023,1
ECU,Upper middle income,Oil,Latin America and the Caribbean,South America,2011,max_rent,25.59743028,1
GBR,High income,Oil,Europe,Northern Europe,2000,max_rent,1.334152821,0
GBR,High income,Oil,Europe,Northern Europe,2001,max_rent,0.999659844,0
GBR,High income,Oil,Europe,Northern Europe,2002,max_rent,0.925903197,0
GBR,High income,Oil,Europe,Northern Europe,2003,max_rent,0.873725614,0
GBR,High income,Oil,Europe,Northern Europe,2004,max_rent,0.906187857,1
GBR,High income,Oil,Europe,Northern Europe,2005,max_rent,1.123902784,1
GBR,High income,Oil,Europe,Northern Europe,2006,max_rent,1.151349078,1
GBR,High income,Oil,Europe,Northern Europe,2007,max_rent,1.110077788,0
GBR,High income,Oil,Europe,Northern Europe,2008,max_rent,1.519478934,1
GBR,High income,Oil,Europe,Northern Europe,2009,max_rent,0.995568283,0
GBR,High income,Oil,Europe,Northern Europe,2010,max_rent,1.181271476,1
GNQ,High income,Oil,Africa,Middle Africa,2000,max_rent,64.19408067,0
GNQ,High income,Oil,Africa,Middle Africa,2001,max_rent,73.56131708,1
GNQ,High income,Oil,Africa,Middle Africa,2002,max_rent,79.01800512,1
GNQ,High income,Oil,Africa,Middle Africa,2003,max_rent,78.89792022,0
GNQ,High income,Oil,Africa,Middle Africa,2004,max_rent,79.51369636,1
GNQ,High income,Oil,Africa,Middle Africa,2005,max_rent,75.07370837,0
GNQ,High income,Oil,Africa,Middle Africa,2006,max_rent,74.27804397,0
GNQ,High income,Oil,Africa,Middle Africa,2007,max_rent,63.9897362,0
GNQ,High income,Oil,Africa,Middle Africa,2008,max_rent,59.61883487,0
GNQ,High income,Oil,Africa,Middle Africa,2009,max_rent,46.24574345,0
GNQ,High income,Oil,Africa,Middle Africa,2010,max_rent,45.643482,0
GNQ,High income,Oil,Africa,Middle Africa,2011,max_rent,41.05321505,0
IDN,Lower middle income,Oil,Asia,Southeast Asia,2000,max_rent,6.429433202,0
IDN,Lower middle income,Oil,Asia,Southeast Asia,2001,max_rent,4.928176218,0
IDN,Lower middle income,Oil,Asia,Southeast Asia,2002,max_rent,3.823770959,0
IDN,Lower middle income,Oil,Asia,Southeast Asia,2003,max_rent,3.851684119,1
IDN,Lower middle income,Oil,Asia,Southeast Asia,2004,max_rent,4.305830512,1
IDN,Lower middle income,Oil,Asia,Southeast Asia,2005,max_rent,5.68023621,1
IDN,Lower middle income,Oil,Asia,Southeast Asia,2006,max_rent,5.126246285,0
IDN,Lower middle income,Oil,Asia,Southeast Asia,2007,max_rent,4.499853943,0
IDN,Lower middle income,Oil,Asia,Southeast Asia,2008,max_rent,5.413708932,1
IDN,Lower middle income,Oil,Asia,Southeast Asia,2009,max_rent,2.645277625,0
IDN,Lower middle income,Oil,Asia,Southeast Asia,2010,max_rent,3.249489816,1
IDN,Lower middle income,Oil,Asia,Southeast Asia,2011,max_rent,3.980029391,1
IRN,Upper middle income,Oil,Asia,Southern Asia,2000,max_rent,34.41498931,0
IRN,Upper middle income,Oil,Asia,Southern Asia,2001,max_rent,23.89305793,0
IRN,Upper middle income,Oil,Asia,Southern Asia,2002,max_rent,23.7424541,0
IRN,Upper middle income,Oil,Asia,Southern Asia,2003,max_rent,26.46864473,1
IRN,Upper middle income,Oil,Asia,Southern Asia,2004,max_rent,29.74163604,1
IRN,Upper middle income,Oil,Asia,Southern Asia,2005,max_rent,38.32612745,1
IRN,Upper middle income,Oil,Asia,Southern Asia,2006,max_rent,40.28698604,1
IRN,Upper middle income,Oil,Asia,Southern Asia,2007,max_rent,34.99250944,0
IRN,Upper middle income,Oil,Asia,Southern Asia,2008,max_rent,39.88777448,1
IRN,Upper middle income,Oil,Asia,Southern Asia,2009,max_rent,23.45801663,0
IRQ,Upper middle income,Oil,Asia,Western Asia,2004,max_rent,96.59976089,0
IRQ,Upper middle income,Oil,Asia,Western Asia,2005,max_rent,105.950004,1
IRQ,Upper middle income,Oil,Asia,Western Asia,2006,max_rent,92.51848724,0
IRQ,Upper middle income,Oil,Asia,Western Asia,2007,max_rent,83.95839624,0
IRQ,Upper middle income,Oil,Asia,Western Asia,2008,max_rent,85.39357086,1
IRQ,Upper middle income,Oil,Asia,Western Asia,2009,max_rent,70.55025598,0
IRQ,Upper middle income,Oil,Asia,Western Asia,2010,max_rent,73.59282102,1
IRQ,Upper middle income,Oil,Asia,Western Asia,2011,max_rent,77.69626655,1
KAZ,Upper middle income,Oil,Asia,Central Asia,2002,max_rent,28.62684648,0
KAZ,Upper middle income,Oil,Asia,Central Asia,2003,max_rent,29.57593079,1
KAZ,Upper middle income,Oil,Asia,Central Asia,2004,max_rent,33.04881783,1
KAZ,Upper middle income,Oil,Asia,Central Asia,2005,max_rent,37.5192917,1
KAZ,Upper middle income,Oil,Asia,Central Asia,2006,max_rent,34.13873176,0
KAZ,Upper middle income,Oil,Asia,Central Asia,2007,max_rent,29.74760934,0
KAZ,Upper middle income,Oil,Asia,Central Asia,2008,max_rent,33.82122188,1
KAZ,Upper middle income,Oil,Asia,Central Asia,2009,max_rent,24.72224504,0
KAZ,Upper middle income,Oil,Asia,Central Asia,2010,max_rent,26.32866471,1
KAZ,Upper middle income,Oil,Asia,Central Asia,2011,max_rent,27.4884312,1
KGZ,Low income,Oil,Asia,Central Asia,2000,max_rent,0.938913761,0
KWT,High income,Oil,Asia,Western Asia,2003,max_rent,41.56466404,0
KWT,High income,Oil,Asia,Western Asia,2004,max_rent,48.80201075,1
KWT,High income,Oil,Asia,Western Asia,2005,max_rent,58.07896329,1
KWT,High income,Oil,Asia,Western Asia,2006,max_rent,57.38189384,0
KWT,High income,Oil,Asia,Western Asia,2008,max_rent,60.67307899,0
NGA,Lower middle income,Oil,Africa,Western Africa,2000,max_rent,41.8455142,0
NGA,Lower middle income,Oil,Africa,Western Africa,2001,max_rent,34.39860225,0
NGA,Lower middle income,Oil,Africa,Western Africa,2002,max_rent,24.39969686,0
NGA,Lower middle income,Oil,Africa,Western Africa,2003,max_rent,28.94637686,1
NGA,Lower middle income,Oil,Africa,Western Africa,2004,max_rent,32.64212611,1
NGA,Lower middle income,Oil,Africa,Western Africa,2005,max_rent,37.59949329,1
NGA,Lower middle income,Oil,Africa,Western Africa,2006,max_rent,33.24831041,0
NGA,Lower middle income,Oil,Africa,Western Africa,2007,max_rent,29.64153798,0
NGA,Lower middle income,Oil,Africa,Western Africa,2008,max_rent,31.26869251,1
NGA,Lower middle income,Oil,Africa,Western Africa,2009,max_rent,22.54044139,0
NGA,Lower middle income,Oil,Africa,Western Africa,2010,max_rent,25.11998625,1
NGA,Lower middle income,Oil,Africa,Western Africa,2011,max_rent,32.91652679,1
NOR,High income,Oil,Europe,Northern Europe,2000,max_rent,15.63308104,0
NOR,High income,Oil,Europe,Northern Europe,2001,max_rent,12.48044234,0
NOR,High income,Oil,Europe,Northern Europe,2003,max_rent,10.83373762,0
NOR,High income,Oil,Europe,Northern Europe,2004,max_rent,11.96146961,1
NOR,High income,Oil,Europe,Northern Europe,2005,max_rent,13.68217909,1
NOR,High income,Oil,Europe,Northern Europe,2006,max_rent,13.67760726,0
NOR,High income,Oil,Europe,Northern Europe,2007,max_rent,12.53737322,0
NOR,High income,Oil,Europe,Northern Europe,2008,max_rent,14.3566056,1
NOR,High income,Oil,Europe,Northern Europe,2009,max_rent,9.162372111,0
NOR,High income,Oil,Europe,Northern Europe,2010,max_rent,10.03726253,1
NOR,High income,Oil,Europe,Northern Europe,2011,max_rent,10.77507422,1
OMN,High income,Oil,Asia,Western Asia,2000,max_rent,42.31300985,0
OMN,High income,Oil,Asia,Western Asia,2001,max_rent,34.12441,0
OMN,High income,Oil,Asia,Western Asia,2002,max_rent,32.49472044,0
OMN,High income,Oil,Asia,Western Asia,2003,max_rent,33.14819309,1
OMN,High income,Oil,Asia,Western Asia,2004,max_rent,37.88780063,1
OMN,High income,Oil,Asia,Western Asia,2005,max_rent,44.03679338,1
OMN,High income,Oil,Asia,Western Asia,2006,max_rent,42.68125867,0
OMN,High income,Oil,Asia,Western Asia,2007,max_rent,39.69651185,0
OMN,High income,Oil,Asia,Western Asia,2008,max_rent,40.4373586,1
OMN,High income,Oil,Asia,Western Asia,2009,max_rent,31.60433861,0
OMN,High income,Oil,Asia,Western Asia,2010,max_rent,36.12800228,1
OMN,High income,Oil,Asia,Western Asia,2011,max_rent,40.21141584,1
PHL,Lower middle income,Minerals,Asia,Southeast Asia,2007,max_rent,2.413898278,0
PHL,Lower middle income,Minerals,Asia,Southeast Asia,2008,max_rent,1.172268618,0
PHL,Lower middle income,Minerals,Asia,Southeast Asia,2009,max_rent,1.379872929,1
PHL,Lower middle income,Minerals,Asia,Southeast Asia,2010,max_rent,2.210313569,1
PHL,Lower middle income,Minerals,Asia,Southeast Asia,2011,max_rent,2.630274696,1
QAT,High income,Oil,Asia,Western Asia,2000,max_rent,30.52305008,0
QAT,High income,Oil,Asia,Western Asia,2001,max_rent,26.32902135,0
QAT,High income,Oil,Asia,Western Asia,2002,max_rent,25.4748992,0
QAT,High income,Oil,Asia,Western Asia,2003,max_rent,24.20467253,0
QAT,High income,Oil,Asia,Western Asia,2004,max_rent,27.74958126,1
QAT,High income,Oil,Asia,Western Asia,2005,max_rent,29.99252388,1
QAT,High income,Oil,Asia,Western Asia,2006,max_rent,27.5640281,0
QAT,High income,Oil,Asia,Western Asia,2007,max_rent,22.42061091,0
QAT,High income,Oil,Asia,Western Asia,2008,max_rent,24.24133407,1
QAT,High income,Oil,Asia,Western Asia,2009,max_rent,14.57706332,0
QAT,High income,Oil,Asia,Western Asia,2010,max_rent,14.62300129,1
QAT,High income,Oil,Asia,Western Asia,2011,max_rent,14.35673776,0
RUS,High income,Oil,Europe,Eastern Europe,2000,max_rent,22.01061857,0
RUS,High income,Oil,Europe,Eastern Europe,2001,max_rent,17.33177094,0
RUS,High income,Oil,Europe,Eastern Europe,2002,max_rent,13.58567718,0
RUS,High income,Oil,Europe,Eastern Europe,2003,max_rent,16.20118232,1
RUS,High income,Oil,Europe,Eastern Europe,2004,max_rent,16.1658149,0
RUS,High income,Oil,Europe,Eastern Europe,2005,max_rent,18.94772969,1
RUS,High income,Oil,Europe,Eastern Europe,2006,max_rent,18.10314314,0
RUS,High income,Oil,Europe,Eastern Europe,2007,max_rent,15.48423904,0
RUS,High income,Oil,Europe,Eastern Europe,2008,max_rent,16.79524014,1
RUS,High income,Oil,Europe,Eastern Europe,2009,max_rent,12.61643072,0
RUS,High income,Oil,Europe,Eastern Europe,2010,max_rent,14.13346813,1
RUS,High income,Oil,Europe,Eastern Europe,2011,max_rent,15.42290733,1
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2000,max_rent,21.38210582,0
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2001,max_rent,20.02636375,0
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2002,max_rent,16.15553605,0
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2003,max_rent,31.09846053,1
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2004,max_rent,32.9216684,1
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2005,max_rent,46.5887654,1
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2006,max_rent,47.26696596,1
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2007,max_rent,41.67924236,0
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2008,max_rent,47.62187022,1
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2009,max_rent,28.88994554,0
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2010,max_rent,25.45441942,0
TTO,High income,Gas,Latin America and the Caribbean,Caribbean,2011,max_rent,24.4794635,0
TZA,Low income,Minerals,Africa,Easten Africa,2004,max_rent,1.184078509,0
TZA,Low income,Minerals,Africa,Easten Africa,2005,max_rent,1.487741128,1
TZA,Low income,Minerals,Africa,Easten Africa,2006,max_rent,2.99671369,1
TZA,Low income,Minerals,Africa,Easten Africa,2007,max_rent,2.754668444,0
TZA,Low income,Minerals,Africa,Easten Africa,2008,max_rent,2.895079819,1
TZA,Low income,Minerals,Africa,Easten Africa,2009,max_rent,3.684867625,1
TZA,Low income,Minerals,Africa,Easten Africa,2010,max_rent,5.202365212,1
TZA,Low income,Minerals,Africa,Easten Africa,2011,max_rent,5.646251922,1
UZB,Lower middle income,Gas,Asia,Central Asia,2006,max_rent,76.32850286,0
UZB,Lower middle income,Gas,Asia,Central Asia,2007,max_rent,59.57629729,0
UZB,Lower middle income,Gas,Asia,Central Asia,2008,max_rent,73.55188454,1
UZB,Lower middle income,Gas,Asia,Central Asia,2009,max_rent,22.78364216,0
UZB,Lower middle income,Gas,Asia,Central Asia,2010,max_rent,16.58894378,0
UZB,Lower middle income,Gas,Asia,Central Asia,2011,max_rent,15.08956301,0
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2000,max_rent,24.5830378,0
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2001,max_rent,19.23679722,0
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2002,max_rent,23.92732242,1
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2003,max_rent,27.85553474,1
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2004,max_rent,35.39601738,1
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2005,max_rent,41.24505621,1
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2006,max_rent,39.529527,0
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2007,max_rent,30.67968008,0
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2008,max_rent,31.65288727,1
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2009,max_rent,17.30992957,0
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2010,max_rent,18.30369311,1
VEN,Upper middle income,Oil,Latin America and the Caribbean,South America,2011,max_rent,29.97722984,1
VNM,Lower middle income,Oil,Asia,Southeast Asia,2000,max_rent,9.277294207,0
VNM,Lower middle income,Oil,Asia,Southeast Asia,2001,max_rent,7.523932202,0
VNM,Lower middle income,Oil,Asia,Southeast Asia,2002,max_rent,7.104472267,0
VNM,Lower middle income,Oil,Asia,Southeast Asia,2003,max_rent,7.474254327,1
VNM,Lower middle income,Oil,Asia,Southeast Asia,2004,max_rent,10.62266483,1
VNM,Lower middle income,Oil,Asia,Southeast Asia,2005,max_rent,12.36849479,1
VNM,Lower middle income,Oil,Asia,Southeast Asia,2006,max_rent,11.80768943,0
VNM,Lower middle income,Oil,Asia,Southeast Asia,2007,max_rent,10.63683922,0
VNM,Lower middle income,Oil,Asia,Southeast Asia,2008,max_rent,10.71933882,1
VNM,Lower middle income,Oil,Asia,Southeast Asia,2009,max_rent,6.45501078,0
VNM,Lower middle income,Oil,Asia,Southeast Asia,2010,max_rent,7.133016849,1
VNM,Lower middle income,Oil,Asia,Southeast Asia,2011,max_rent,7.840935637,1
YEM,Lower middle income,Oil,Asia,Western Asia,2000,max_rent,38.28194129,0
YEM,Lower middle income,Oil,Asia,Western Asia,2001,max_rent,30.91685408,0
YEM,Lower middle income,Oil,Asia,Western Asia,2002,max_rent,29.05514768,0
YEM,Lower middle income,Oil,Asia,Western Asia,2003,max_rent,30.84952621,1
YEM,Lower middle income,Oil,Asia,Western Asia,2004,max_rent,33.27076682,1
YEM,Lower middle income,Oil,Asia,Western Asia,2005,max_rent,39.71942441,1
YEM,Lower middle income,Oil,Asia,Western Asia,2006,max_rent,38.52485849,0
YEM,Lower middle income,Oil,Asia,Western Asia,2007,max_rent,32.71277196,0
YEM,Lower middle income,Oil,Asia,Western Asia,2008,max_rent,33.41827195,1
YEM,Lower middle income,Oil,Asia,Western Asia,2009,max_rent,20.04660583,0
YEM,Lower middle income,Oil,Asia,Western Asia,2010,max_rent,20.56683784,1
YEM,Lower middle income,Oil,Asia,Western Asia,2011,max_rent,18.70816838,0
