"","ccode","year","country","class_income","class_reg","class_subreg","class_opec","class_hipc","class_ldc","class_reg2","class_dev","rev2_gov_nonresrev_gdp","rev2_gs","rev2_vat","rev2_cit","rev2_trade","rev2_pit","rev_resrev_gdp","rev_resrev_govrev","rent_min","rent_coal","rent_gas","rent_oil","rev2_gov_resrev_gdp","rev2_gov_rev_gdp","rev_source","eiti_sector","eiti__stream","eiti_inkind","eiti_companies","eiti_government","eiti_numcom","corr_cpi","corr_estimate","corr_rank","econ_gdpcon","econ_gdpcur","econ_gdpconpc","econ_gdpcurpc","econ_tva","econ_tax","econ_govrev","econ_govexp","econ_invtotal","econ_invfdi","econ_eiva","rent_res_total_gdp","gov_take_ratio","eprod_gas","eprod_oil","eprod_coal","eprod_oilper","eprod_gasper","eprod_coalper","prod_total","prod_indus","prod_ironferr","prod_fuels","prod_nfm","prod_prec"
"11","AGO","2002","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",11.67226,2.936711,NA,NA,2.124177,0.8,29.41668,41.08894,0,NA,0.540108588,83.76639562,27.0716054,77.1723578,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,-1.14,8,20457898753,12497346043,1374.251641,839.5045121,NA,NA,35.079,38.189,13.669,1672.06,61.81,84.306504208,0.321109333785318,NA,44.6,NA,1.23795253,NA,NA,NA,NA,NA,NA,NA,NA
"12","AGO","2003","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",10.03676,2.893623,NA,NA,2.206277,1.1,27.88953,37.92629,0,NA,0.584929232,54.0998337,27.8492829,76.195711,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,-1.3,5,21531441233,14188949240,1396.234778,920.1011758,NA,NA,37.304,43.185,13.772,3504.7,59.15,54.684762932,0.509269518725542,NA,42.83272875,NA,1.147018357,NA,NA,NA,NA,NA,NA,NA,NA
"13","AGO","2004","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",9.552065,2.211294,NA,NA,2.00945,0.9,28.40554,37.957605,0,NA,0.484208622,56.13048739,28.9560135,78.8986282,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,-1.28,7,23873946857,19640862550,1494.296347,1229.342988,NA,NA,37.157,35.738,9.91,1449.31,60.12,56.614696012,0.511457546179574,NA,54.4642081,NA,1.394536075,NA,NA,NA,NA,NA,NA,NA,NA
"14","AGO","2005","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",8.381538,2.055684,NA,NA,1.761002,0.8,32.28846,40.669998,0,NA,0.432778864,65.13416211,35.3879493,80.6717253,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,-1.33,6,28233699240,28233699240,1706.543616,1706.543616,NA,NA,44.125,34.736,8.779,-1303.85977,66.2,65.566940974,0.539722438996091,NA,68.86201704,NA,1.746409849,NA,NA,NA,NA,NA,NA,NA,NA
"15","AGO","2006","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",9.209099,1.845988,NA,NA,1.283424,0.7,37.21011,46.419209,0,NA,0.298236092,62.61716875,40.4495344,80.6225441,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,-1.23,8,34087962369,41789494462,1990.839161,2440.631716,NA,NA,50.172,38.36,15.361,-37.71486,69.48,62.915404842,0.642919401084381,NA,69.28916282,NA,1.748267164,NA,NA,NA,NA,NA,NA,NA,NA
"16","AGO","2007","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",7.942608,1.972511,NA,NA,1.699602,0.8,37.87961,45.822218,0,NA,0.250259014,58.65732702,37.3387796,81.5741767,"Hydrocarbons",NA,NA,NA,NA,NA,NA,2.2,-1.32,4,41789491879,60448890972,2359.278898,3412.718998,NA,NA,45.823,41.167,13.505,-893.342152,68.87,58.907586034,0.633853500268183,NA,82.07488324,NA,2.077657872,NA,NA,83238402,9746709,0,82530230,0,0
"17","AGO","2008","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",10.11693,2.148362,NA,NA,1.651319,0.8,40.82218,50.93911,0,NA,0.240457884,70.66782864,41.3565182,81.2349339,"Hydrocarbons",NA,NA,NA,NA,NA,NA,1.9,-1.28,5,47563587328,84178086999,2597.053731,4596.268431,NA,NA,50.94,55.394,16.219,1678.97101,68.43,70.908286524,0.583239565181176,NA,93.06647143,NA,2.331446164,NA,NA,94056502,8956974,0,93479160,0,0
"18","AGO","2009","Angola","Upper middle income","Africa","Middle Africa","1","0","1","Sub-Saharan Africa","Developing",NA,2.466657,NA,NA,1.775186,NA,NA,NA,0,NA,0.101666367,44.33736847,24.2859453,70.3465657,"Hydrocarbons",NA,NA,NA,NA,NA,NA,1.9,-1.42,2,48711254651,75492417649,2573.686027,3988.683557,NA,NA,34.561,41.916,15.229,2205.29818,68.92,44.439034837,0.546500287170492,NA,87.61500186,NA,2.251974917,NA,NA,89753402,13983000,0,89063070,0,0
"19","ARE","1992","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91993931546,54239171831,45700.43848,26944.75487,NA,0.434428864,31.011,NA,24.845,129.72,NA,0,NA,19.953,118.4243473,NA,3.70619254,1.093719259,NA,NA,NA,NA,NA,NA,NA
"20","ARE","1993","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",0.3999996,0.5,NA,NA,NA,NA,24.4,24.7999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93154150684,55625170196,43916.95924,26224.14905,NA,0.295298727,26.425,NA,23.926,401.32,NA,0,NA,20.691,114.5894918,NA,3.587123153,1.113326662,NA,NA,NA,NA,NA,NA,NA
"21","ARE","1994","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",3.700001,1.2,NA,NA,NA,NA,20.4,24.100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99578199286,59305093918,44610.71066,26568.48993,NA,0.714623649,26.4,NA,26.679,62.46,NA,0,NA,24.174,116.251537,NA,3.583614744,1.28391508,NA,NA,NA,NA,NA,NA,NA
"22","ARE","1995","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",5.1,1.4,NA,NA,NA,NA,20.4,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06e+11,65743666508,45278.80059,28020.08541,NA,0.849530755,28.134,NA,26.727,399.85,30.31,0,NA,28.188,112.3288888,NA,3.418323007,1.475418359,NA,NA,NA,NA,NA,NA,NA
"23","ARE","1996","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",5.200001,1.6,NA,NA,NA,NA,21,26.200001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,56,1.12e+11,73571233920,45490.33617,29776.16001,NA,0.973415284,28.445,NA,25.525,300.52,32.39,0,NA,30.42,117.7785729,NA,3.48025705,1.520885467,NA,NA,NA,NA,NA,NA,NA
"24","ARE","1997","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",4.699999,1.6,NA,NA,NA,NA,22.2,26.899999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22e+11,78839008363,46609.48495,30218.1755,NA,0.992336344,29.247,NA,24.746,232.43,29.65,0,NA,32.679,122.0680133,NA,3.501730942,1.63005413,NA,NA,NA,NA,NA,NA,NA
"25","ARE","1998","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",10.2,1.8,NA,NA,NA,NA,14.7,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,58,1.22e+11,75674338445,44292.34968,27482.9829,NA,1.075872392,27.339,NA,26.081,257.66,20.98,0,NA,33.363,125.2460149,NA,3.527258338,1.62571041,NA,NA,NA,NA,NA,NA,NA
"26","ARE","1999","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",9.2,1.7,NA,NA,0.6,NA,14.7,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25e+11,84445475523,43370.30765,29183.05043,NA,1.122447005,26.215,24.416,24.396,-985.34,24.6,0,NA,34.641,120.2228599,NA,3.447891078,1.646668676,NA,NA,NA,NA,NA,NA,NA
"27","ARE","2000","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",6.539999,NA,NA,NA,0.5,NA,23.26,29.799999,0,NA,4.601381734,18.2237892,21.1484453,65.8959289,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,0.13,63,1.39e+11,1.04e+11,45968.99982,34476.28542,NA,NA,32.094,21.843,20.92,-506.33,33.33,22.825170934,0.926540500448022,34.542,124.4880402,NA,3.439106626,1.586719026,NA,NA,NA,NA,NA,NA,NA
"28","ARE","2001","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",4.32,NA,NA,NA,0.5,NA,20.48,24.8,0,NA,4.390320912,14.54288926,18.2975055,69.8390573,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41e+11,1.03e+11,45038.33809,32984.74237,1.03e+11,NA,26.2,24.406,21.714,1183.84,29.17,18.933210172,0.966423830601102,40.446,119.4050349,NA,3.298575743,1.80556048,NA,NA,NA,NA,NA,NA,NA
"29","ARE","2002","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",NA,NA,NA,NA,0.4,NA,19.74,NA,0,NA,3.332274092,13.05891062,14.1879082,71.368342,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,1.25,85,1.44e+11,1.1e+11,44819.75753,34062.42574,1.09e+11,NA,19.88,21.435,21.783,95.3,26.49,16.391184712,0.865581618979196,39.051,112.524592,NA,3.123320702,1.713505636,NA,NA,NA,NA,NA,NA,NA
"30","ARE","2003","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",NA,NA,NA,NA,0.5,NA,23.12,NA,0,NA,4.990580429,15.3968824,17.0336988,76.8205951,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,0.94,81,1.57e+11,1.24e+11,46661.38888,36906.19989,1.23e+11,NA,22.173,20.325,21.437,4255.956433,28.63,20.387462829,0.835498705399013,40.311,126.1791796,NA,3.378954354,1.703268984,NA,NA,NA,NA,NA,NA,NA
"31","ARE","2004","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",NA,NA,NA,NA,0.6,NA,25.27,NA,0,NA,4.714599723,18.31379511,18.7269635,79.0782556,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,1.14,85,1.72e+11,1.48e+11,47081.15807,40403.98817,1.47e+11,NA,23.748,18.078,19.309,10003.5,31.61,23.028394833,0.813211847191538,41.661,131.9908343,NA,3.379576908,1.714959547,NA,NA,NA,NA,NA,NA,NA
"32","ARE","2005","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",NA,NA,NA,NA,0.6,NA,30.76,NA,0,NA,6.139695605,22.05244002,23.4232133,76.8316089,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,1.07,83,1.81e+11,1.81e+11,43533.89178,43533.89178,1.79e+11,NA,30.945,15.189,19.242,10899.93193,35.5,28.192135625,0.83084210474743,43.011,135.7897482,NA,3.443764267,1.713850804,NA,NA,NA,NA,NA,NA,NA
"33","ARE","2006","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",NA,NA,NA,NA,0.6,NA,38.19,NA,0,NA,5.060356759,23.43680341,27.1461163,78.2552803,"Hydrocarbons",NA,NA,NA,NA,NA,NA,NA,0.95,79,1.99e+11,2.22e+11,40714.51819,45554.2194,2.2e+11,NA,34.722,14.687,18.215,12805.99047,33.6,28.497160169,0.952590227903842,44.136,144.3224095,NA,3.641465985,1.697626387,NA,NA,NA,NA,NA,NA,NA
"34","ARE","2007","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",NA,NA,NA,NA,0.9,NA,34.72,NA,0,NA,4.553762515,21.87369429,25.2279516,74.3652591,"Hydrocarbons",NA,NA,NA,NA,NA,NA,5.7,1.08,83,2.05e+11,2.58e+11,35341.66379,44528.99601,2.56e+11,NA,33.796,15.555,23.783,14186.52144,32.83,26.427456805,0.954611402305913,45.306,139.552237,NA,3.532649603,1.705501762,NA,183900150,1994000,6650,140788340,889500,0
"35","ARE","2008","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",7.399998,NA,NA,NA,0.8,NA,31.2,38.599998,NA,NA,NA,NA,31.8879217,81.5136994,"Hydrocarbons",NA,NA,NA,NA,NA,NA,5.9,1.13,83,2.12e+11,3.15e+11,31129.51349,46309.98211,3.12e+11,NA,39.087,17.598,22.532,13723.6,36.17,0,Inf,45.2115,141.3747013,NA,3.54163535,1.640135256,NA,186204723,2219000,12023,142940240,891700,0
"36","ARE","2009","United Arab Emirates","High income","Asia","Western Asia","1","0","0","","Developing",7.799999,NA,NA,NA,0.8,NA,17.5,25.299999,NA,NA,NA,NA,17.9223519,69.7255398,"Hydrocarbons",NA,NA,NA,NA,NA,NA,6.5,0.95,80,2.08e+11,2.7e+11,26978.93569,35025.10449,2.68e+11,NA,26.764,27.046,20.762,4002.7,34.2,0,Inf,43.938,126.1897797,NA,3.243465304,1.639795579,NA,168579120,2215000,8320,126354800,1009800,0
"37","ARG","1992","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",NA,3.480408,2.423263,1.21,0.6976949,0.0247744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34e+11,2.29e+11,4004.501073,6824.997085,2.29e+11,NA,NA,NA,16.655,4430.978,NA,0,NA,18.081,29.04044828,NA,0.908845987,0.991105995,NA,NA,NA,NA,NA,NA,NA
"38","ARG","1993","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",23.43798,5.076003,3.625124,1.35,0.6958839,0.3853196,0.1866955,23.6246755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42e+11,2.37e+11,4185.955279,6971.142245,2.21e+11,NA,24.588,NA,19.652,2793.085,NA,0,NA,19.368,31.06782759,NA,0.97255099,1.042139615,NA,NA,NA,NA,NA,NA,NA
"39","ARG","1994","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",23.59832,4.963565,3.436297,1.56,0.6687773,0.5027969,0.1799435,23.7782635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5e+11,2.57e+11,4373.924249,7483.863863,2.37e+11,NA,24.256,NA,19.951,3634.932,NA,0,NA,20.043,34.511,NA,1.063849405,1.06451187,NA,NA,NA,NA,NA,NA,NA
"40","ARG","1995","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",22.95422,5.117081,3.544446,1.58,0.6322474,0.4454876,0.21453,23.16875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46e+11,2.58e+11,4196.552397,7407.645208,2.39e+11,NA,23.226,25.543,18.564,5609.423,2,0,NA,22.509,37.45693103,NA,1.139866071,1.178167725,NA,NA,NA,NA,NA,NA,NA
"41","ARG","1996","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",21.81322,5.11902,3.89102,1.49,0.7470152,0.5311414,0.2644676,22.0776876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,50,1.54e+11,2.72e+11,4374.369903,7717.47986,2.51e+11,NA,22.228,25.372,19.642,6948.537,2.31,0,NA,26.037,40.816,NA,1.206078222,1.30175197,NA,NA,NA,NA,NA,NA,NA
"42","ARG","1997","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",22.95569,12.71684,3.753343,1.78,0.9444481,0.5974208,0.2446958,23.2003858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67e+11,2.93e+11,4672.6365,8205.45296,2.7e+11,NA,23.206,25.256,20.832,9160.272,2.06,0,NA,24.642,43.38558621,NA,1.244590172,1.229162271,NA,NA,NA,NA,NA,NA,NA
"43","ARG","1998","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",23.64592,12.59492,3.795304,2,0.8781115,0.6653992,0.172369,23.818289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,53,1.73e+11,2.99e+11,4796.292785,8278.972516,2.75e+11,NA,23.82,25.861,20.985,7290.657,1.54,0,NA,26.631,44.02806897,NA,1.239946624,1.297673888,NA,NA,NA,NA,NA,NA,NA
"44","ARG","1999","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",24.08802,12.87809,3.762763,2.18,0.7618076,0.6917251,0.2368769,24.3248969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67e+11,2.84e+11,4582.492013,7764.656497,2.62e+11,NA,24.325,28.461,17.843,23987.69639,1.75,0,NA,31.113,41.8192069,NA,1.19933988,1.478964306,NA,NA,NA,NA,NA,NA,NA
"45","ARG","2000","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",24.23434,13.00236,4.172992,2.31,0.6801811,0.7578366,0.3639469,24.5982869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,47,1.66e+11,2.84e+11,4498.473172,7701.358535,2.63e+11,NA,24.598,28.206,17.518,10418.31434,2.65,0,NA,33.669,40.74045272,NA,1.125495756,1.546616955,NA,NA,NA,NA,NA,NA,NA
"46","ARG","2001","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",23.29298,12.55205,3.259028,2.32,0.577454,0.7538239,0.3425005,23.6354805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59e+11,2.69e+11,4257.422726,7208.814628,2.51e+11,NA,23.638,29.667,15.606,2166.13683,2.61,0,NA,33.426,43.68199906,NA,1.206719487,1.492178821,NA,NA,NA,NA,NA,NA,NA
"47","ARG","2002","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",20.72478,11.53236,3.8,1.56,2.031294,0.9,2.315189,23.039969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51,37,1.41e+11,1.02e+11,3757.889723,2711.85077,96237557591,9.818958347,23.04,38.908,10.778,2148.907534,6.25,0,NA,32.499,43.10132278,NA,1.196354071,1.426012641,NA,NA,NA,NA,NA,NA,NA
"48","ARG","2003","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",24.09986,12.9464,4.6,2.64,3.009688,1.3,1.920908,26.020768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52,40,1.54e+11,1.3e+11,4053.044221,3413.109072,1.21e+11,12.5187797,26.027,30.403,14.053,1652.010645,5.81,0,NA,36.936,42.76523559,NA,1.145210957,1.560664414,NA,NA,NA,NA,NA,NA,NA
"49","ARG","2004","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",28.15889,14.49875,5.9,3.64,3.026048,1.6,0.8733068,29.0321968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,40,1.68e+11,1.53e+11,4379.985196,3997.243288,1.41e+11,14.1974303,29.03,31.882,18.627,4124.704727,5.68,0,NA,40.392,40.94506771,NA,1.048383443,1.662721635,NA,NA,NA,NA,NA,NA,NA
"50","ARG","2005","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",28.53377,14.45685,6.9,3.68,3.046965,1.54,0.8841703,29.4179403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,41,1.83e+11,1.83e+11,4740.067029,4740.067029,1.69e+11,NA,29.307,30.993,20.826,5265.263175,5.85,0,NA,41.067,39.39552444,NA,0.99911003,1.636388621,NA,NA,NA,NA,NA,NA,NA
"51","ARG","2006","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",28.98253,14.70756,7.2,3.5,3.034976,1.53,0.920761,29.903291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,41,1.99e+11,2.14e+11,5096.388227,5490.435174,1.96e+11,NA,29.913,30.888,22.956,5537.347786,5.99,0,NA,41.49,39.13186815,NA,0.987354405,1.595851885,NA,NA,NA,NA,NA,NA,NA
"52","ARG","2007","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",30.75863,15.25012,7.7,3.59,3.386206,1.57,0.7668678,31.5254978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,-0.4,41,NA,2.61e+11,NA,6630.045926,2.38e+11,NA,31.533,33.641,24.123,6473.157762,4.77,0,NA,40.347,37.98312328,NA,0.96151139,1.518824871,NA,76599843,4990495,55705,35204905,529270,297588
"53","ARG","2008","Argentina","Upper middle income","Latin America and the Caribbean","South America","0","0","0","Latin America & Caribbean","Emerging ",32.69893,15.41382,7.77,3.29,4.368204,1.71,0.7097427,33.4086727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,-0.47,40,NA,3.27e+11,NA,8231.226065,2.97e+11,NA,33.404,34.258,25.058,9725.55313,3.77,0,NA,39.654,36.54003294,NA,0.91537928,1.438526114,NA,74657433,4378340,142083,34371983,608629,397646
